unicode.text,unicode.href,discrption,,,
U+1F46E,http://apps.timwhitlock.info/unicode/inspect/hex/1F46E,POLICE OFFICER,police,,
U+1F46F,http://apps.timwhitlock.info/unicode/inspect/hex/1F46F,WOMAN WITH BUNNY EARS,,,
U+1F470,http://apps.timwhitlock.info/unicode/inspect/hex/1F470,BRIDE WITH VEIL,bride,,
U+1F471,http://apps.timwhitlock.info/unicode/inspect/hex/1F471,PERSON WITH BLOND HAIR,blond,,
U+1F472,http://apps.timwhitlock.info/unicode/inspect/hex/1F472,MAN WITH GUA PI MAO,,,
U+1F473,http://apps.timwhitlock.info/unicode/inspect/hex/1F473,MAN WITH TURBAN,turban,,
U+1F474,http://apps.timwhitlock.info/unicode/inspect/hex/1F474,OLDER MAN,,,
U+1F475,http://apps.timwhitlock.info/unicode/inspect/hex/1F475,OLDER WOMAN,old,,
U+1F476,http://apps.timwhitlock.info/unicode/inspect/hex/1F476,BABY,,,
U+1F477,http://apps.timwhitlock.info/unicode/inspect/hex/1F477,CONSTRUCTION WORKER,,,
U+1F478,http://apps.timwhitlock.info/unicode/inspect/hex/1F478,PRINCESS,princess,,
U+1F479,http://apps.timwhitlock.info/unicode/inspect/hex/1F479,JAPANESE OGRE,,,
U+1F47A,http://apps.timwhitlock.info/unicode/inspect/hex/1F47A,JAPANESE GOBLIN,,,
U+1F47B,http://apps.timwhitlock.info/unicode/inspect/hex/1F47B,GHOST,ghost,,
U+1F47C,http://apps.timwhitlock.info/unicode/inspect/hex/1F47C,BABY ANGEL,angel,,
U+1F47D,http://apps.timwhitlock.info/unicode/inspect/hex/1F47D,EXTRATERRESTRIAL ALIEN,alien,,
U+1F47E,http://apps.timwhitlock.info/unicode/inspect/hex/1F47E,ALIEN MONSTER,,,
U+1F47F,http://apps.timwhitlock.info/unicode/inspect/hex/1F47F,IMP,imp,,
U+1F480,http://apps.timwhitlock.info/unicode/inspect/hex/1F480,SKULL,skull,,
U+1F481,http://apps.timwhitlock.info/unicode/inspect/hex/1F481,INFORMATION DESK PERSON,,,
U+1F482,http://apps.timwhitlock.info/unicode/inspect/hex/1F482,GUARDSMAN,,,
U+1F483,http://apps.timwhitlock.info/unicode/inspect/hex/1F483,DANCER,dancer,,
U+1F484,http://apps.timwhitlock.info/unicode/inspect/hex/1F484,LIPSTICK,lipstick,,
U+1F485,http://apps.timwhitlock.info/unicode/inspect/hex/1F485,NAIL POLISH,,,
U+1F486,http://apps.timwhitlock.info/unicode/inspect/hex/1F486,FACE MASSAGE,massage,,
U+1F487,http://apps.timwhitlock.info/unicode/inspect/hex/1F487,HAIRCUT,haircut,,
U+1F488,http://apps.timwhitlock.info/unicode/inspect/hex/1F488,BARBER POLE,,,
U+1F489,http://apps.timwhitlock.info/unicode/inspect/hex/1F489,SYRINGE,syringe,,
U+1F48A,http://apps.timwhitlock.info/unicode/inspect/hex/1F48A,PILL,pill,,
U+1F48B,http://apps.timwhitlock.info/unicode/inspect/hex/1F48B,KISS MARK,kiss,,
U+1F48C,http://apps.timwhitlock.info/unicode/inspect/hex/1F48C,LOVE LETTER,letter,,
U+1F48D,http://apps.timwhitlock.info/unicode/inspect/hex/1F48D,RING,ring,,
U+1F48E,http://apps.timwhitlock.info/unicode/inspect/hex/1F48E,GEM STONE,gem,,
U+1F48F,http://apps.timwhitlock.info/unicode/inspect/hex/1F48F,KISS,,,
U+1F490,http://apps.timwhitlock.info/unicode/inspect/hex/1F490,BOUQUET,bouquet,,
U+1F491,http://apps.timwhitlock.info/unicode/inspect/hex/1F491,COUPLE WITH HEART,,,
U+1F492,http://apps.timwhitlock.info/unicode/inspect/hex/1F492,WEDDING,wedding,,
U+1F493,http://apps.timwhitlock.info/unicode/inspect/hex/1F493,BEATING HEART,,,
U+1F494,http://apps.timwhitlock.info/unicode/inspect/hex/1F494,BROKEN HEART,,,
U+1F495,http://apps.timwhitlock.info/unicode/inspect/hex/1F495,TWO HEARTS,,,
U+1F496,http://apps.timwhitlock.info/unicode/inspect/hex/1F496,SPARKLING HEART,,,
U+1F497,http://apps.timwhitlock.info/unicode/inspect/hex/1F497,GROWING HEART,,,
U+1F498,http://apps.timwhitlock.info/unicode/inspect/hex/1F498,HEART WITH ARROW,,,
U+1F499,http://apps.timwhitlock.info/unicode/inspect/hex/1F499,BLUE HEART,,,
U+1F49A,http://apps.timwhitlock.info/unicode/inspect/hex/1F49A,GREEN HEART,green,,
U+1F49B,http://apps.timwhitlock.info/unicode/inspect/hex/1F49B,YELLOW HEART,yellow,,
U+1F49C,http://apps.timwhitlock.info/unicode/inspect/hex/1F49C,PURPLE HEART,purple,,
U+1F49D,http://apps.timwhitlock.info/unicode/inspect/hex/1F49D,HEART WITH RIBBON,,,
U+1F49E,http://apps.timwhitlock.info/unicode/inspect/hex/1F49E,REVOLVING HEARTS,,,
U+1F49F,http://apps.timwhitlock.info/unicode/inspect/hex/1F49F,HEART DECORATION,heart,,
U+1F4A0,http://apps.timwhitlock.info/unicode/inspect/hex/1F4A0,DIAMOND SHAPE WITH A DOT INSIDE,diamond,,
U+1F4A1,http://apps.timwhitlock.info/unicode/inspect/hex/1F4A1,ELECTRIC LIGHT BULB,cutlery,,
U+1F4A2,http://apps.timwhitlock.info/unicode/inspect/hex/1F4A2,ANGER SYMBOL,anger,,
U+1F4A3,http://apps.timwhitlock.info/unicode/inspect/hex/1F4A3,BOMB,bomb,,
U+1F4A4,http://apps.timwhitlock.info/unicode/inspect/hex/1F4A4,SLEEPING SYMBOL,sleeping,,
U+1F4A5,http://apps.timwhitlock.info/unicode/inspect/hex/1F4A5,COLLISION SYMBOL,collision,,
U+1F4A6,http://apps.timwhitlock.info/unicode/inspect/hex/1F4A6,SPLASHING SWEAT SYMBOL,sweat,,
U+1F4A7,http://apps.timwhitlock.info/unicode/inspect/hex/1F4A7,DROPLET,droplet,drop,
U+1F4A8,http://apps.timwhitlock.info/unicode/inspect/hex/1F4A8,DASH SYMBOL,,,
U+1F4A9,http://apps.timwhitlock.info/unicode/inspect/hex/1F4A9,PILE OF POO,poo,,
U+1F4AA,http://apps.timwhitlock.info/unicode/inspect/hex/1F4AA,FLEXED BICEPS,bicep,muscle,
U+1F4AB,http://apps.timwhitlock.info/unicode/inspect/hex/1F4AB,DIZZY SYMBOL,dizzy,,
U+1F4AC,http://apps.timwhitlock.info/unicode/inspect/hex/1F4AC,SPEECH BALLOON,speech,talk,talking
U+1F4AE,http://apps.timwhitlock.info/unicode/inspect/hex/1F4AE,WHITE FLOWER,,,
U+1F4AF,http://apps.timwhitlock.info/unicode/inspect/hex/1F4AF,HUNDRED POINTS SYMBOL,100,hundred,
U+1F4B0,http://apps.timwhitlock.info/unicode/inspect/hex/1F4B0,MONEY BAG,money,,
U+1F4B1,http://apps.timwhitlock.info/unicode/inspect/hex/1F4B1,CURRENCY EXCHANGE,currency,,
U+1F4B2,http://apps.timwhitlock.info/unicode/inspect/hex/1F4B2,HEAVY DOLLAR SIGN,dollar,,
U+1F4B3,http://apps.timwhitlock.info/unicode/inspect/hex/1F4B3,CREDIT CARD,credit,,
U+1F4B4,http://apps.timwhitlock.info/unicode/inspect/hex/1F4B4,BANKNOTE WITH YEN SIGN,yen,,
U+1F4B5,http://apps.timwhitlock.info/unicode/inspect/hex/1F4B5,BANKNOTE WITH DOLLAR SIGN,,,
U+1F4B8,http://apps.timwhitlock.info/unicode/inspect/hex/1F4B8,MONEY WITH WINGS,,,
U+1F4B9,http://apps.timwhitlock.info/unicode/inspect/hex/1F4B9,CHART WITH UPWARDS TREND AND YEN SIGN,,,
U+1F4BA,http://apps.timwhitlock.info/unicode/inspect/hex/1F4BA,SEAT,seat,,
U+1F4BB,http://apps.timwhitlock.info/unicode/inspect/hex/1F4BB,PERSONAL COMPUTER,computer,,
U+1F4BC,http://apps.timwhitlock.info/unicode/inspect/hex/1F4BC,BRIEFCASE,briefcase,,
U+1F4BD,http://apps.timwhitlock.info/unicode/inspect/hex/1F4BD,MINIDISC,minidisc,,
U+1F4BE,http://apps.timwhitlock.info/unicode/inspect/hex/1F4BE,FLOPPY DISK,floppy,,
U+1F4BF,http://apps.timwhitlock.info/unicode/inspect/hex/1F4BF,OPTICAL DISC,,,
U+1F4C0,http://apps.timwhitlock.info/unicode/inspect/hex/1F4C0,DVD,dvd,,
U+1F4C1,http://apps.timwhitlock.info/unicode/inspect/hex/1F4C1,FILE FOLDER,file,,
U+1F4C2,http://apps.timwhitlock.info/unicode/inspect/hex/1F4C2,OPEN FILE FOLDER,,,
U+1F4C3,http://apps.timwhitlock.info/unicode/inspect/hex/1F4C3,PAGE WITH CURL,,,
U+1F4C4,http://apps.timwhitlock.info/unicode/inspect/hex/1F4C4,PAGE FACING UP,,,
U+1F4C5,http://apps.timwhitlock.info/unicode/inspect/hex/1F4C5,CALENDAR,calendar,,
U+1F4C6,http://apps.timwhitlock.info/unicode/inspect/hex/1F4C6,TEAR-OFF CALENDAR,,,
U+1F4C7,http://apps.timwhitlock.info/unicode/inspect/hex/1F4C7,CARD INDEX,,,
U+1F4C8,http://apps.timwhitlock.info/unicode/inspect/hex/1F4C8,CHART WITH UPWARDS TREND,up,,
U+1F4C9,http://apps.timwhitlock.info/unicode/inspect/hex/1F4C9,CHART WITH DOWNWARDS TREND,down,,
U+1F4CA,http://apps.timwhitlock.info/unicode/inspect/hex/1F4CA,BAR CHART,,,
U+1F4CB,http://apps.timwhitlock.info/unicode/inspect/hex/1F4CB,CLIPBOARD,clipboard,,
U+1F4CC,http://apps.timwhitlock.info/unicode/inspect/hex/1F4CC,PUSHPIN,pushpin,,
U+1F4CD,http://apps.timwhitlock.info/unicode/inspect/hex/1F4CD,ROUND PUSHPIN,,,
U+1F4CE,http://apps.timwhitlock.info/unicode/inspect/hex/1F4CE,PAPERCLIP,paperclip,,
U+1F4CF,http://apps.timwhitlock.info/unicode/inspect/hex/1F4CF,STRAIGHT RULER,ruler,,
U+1F4D0,http://apps.timwhitlock.info/unicode/inspect/hex/1F4D0,TRIANGULAR RULER,,,
U+1F4D1,http://apps.timwhitlock.info/unicode/inspect/hex/1F4D1,BOOKMARK TABS,,,
U+1F4D2,http://apps.timwhitlock.info/unicode/inspect/hex/1F4D2,LEDGER,,,
U+1F4D3,http://apps.timwhitlock.info/unicode/inspect/hex/1F4D3,NOTEBOOK,notebook,,
U+1F4D4,http://apps.timwhitlock.info/unicode/inspect/hex/1F4D4,NOTEBOOK WITH DECORATIVE COVER,,,
U+1F4D5,http://apps.timwhitlock.info/unicode/inspect/hex/1F4D5,CLOSED BOOK,,,
U+1F4D6,http://apps.timwhitlock.info/unicode/inspect/hex/1F4D6,OPEN BOOK,,,
U+1F4D7,http://apps.timwhitlock.info/unicode/inspect/hex/1F4D7,GREEN BOOK,,,
U+1F4D8,http://apps.timwhitlock.info/unicode/inspect/hex/1F4D8,BLUE BOOK,,,
U+1F4D9,http://apps.timwhitlock.info/unicode/inspect/hex/1F4D9,ORANGE BOOK,,,
U+1F4DA,http://apps.timwhitlock.info/unicode/inspect/hex/1F4DA,BOOKS,books,,
U+1F4DB,http://apps.timwhitlock.info/unicode/inspect/hex/1F4DB,NAME BADGE,,,
U+1F4DC,http://apps.timwhitlock.info/unicode/inspect/hex/1F4DC,SCROLL,scroll,,
U+1F4DD,http://apps.timwhitlock.info/unicode/inspect/hex/1F4DD,MEMO,memo,,
U+1F4DE,http://apps.timwhitlock.info/unicode/inspect/hex/1F4DE,TELEPHONE RECEIVER,telephone,,
U+1F4DF,http://apps.timwhitlock.info/unicode/inspect/hex/1F4DF,PAGER,pager,,
U+1F4E0,http://apps.timwhitlock.info/unicode/inspect/hex/1F4E0,FAX MACHINE,fax,,
U+1F4E1,http://apps.timwhitlock.info/unicode/inspect/hex/1F4E1,SATELLITE ANTENNA,satellite,,
U+1F4E2,http://apps.timwhitlock.info/unicode/inspect/hex/1F4E2,PUBLIC ADDRESS LOUDSPEAKER,,,
U+1F4E3,http://apps.timwhitlock.info/unicode/inspect/hex/1F4E3,CHEERING MEGAPHONE,cheering,,
U+1F4E4,http://apps.timwhitlock.info/unicode/inspect/hex/1F4E4,OUTBOX TRAY,,,
U+1F4E5,http://apps.timwhitlock.info/unicode/inspect/hex/1F4E5,INBOX TRAY,,,
U+1F4E6,http://apps.timwhitlock.info/unicode/inspect/hex/1F4E6,PACKAGE,package,,
U+1F4E7,http://apps.timwhitlock.info/unicode/inspect/hex/1F4E7,E-MAIL SYMBOL,email,,
U+1F4E8,http://apps.timwhitlock.info/unicode/inspect/hex/1F4E8,INCOMING ENVELOPE,,,
U+1F4E9,http://apps.timwhitlock.info/unicode/inspect/hex/1F4E9,ENVELOPE WITH DOWNWARDS ARROW ABOVE,,,
U+1F4EA,http://apps.timwhitlock.info/unicode/inspect/hex/1F4EA,CLOSED MAILBOX WITH LOWERED FLAG,,,
U+1F4EB,http://apps.timwhitlock.info/unicode/inspect/hex/1F4EB,CLOSED MAILBOX WITH RAISED FLAG,,,
U+1F4EE,http://apps.timwhitlock.info/unicode/inspect/hex/1F4EE,POSTBOX,postbox,post,
U+1F4F0,http://apps.timwhitlock.info/unicode/inspect/hex/1F4F0,NEWSPAPER,newspaper,,
U+1F4F1,http://apps.timwhitlock.info/unicode/inspect/hex/1F4F1,MOBILE PHONE,mobile,,
U+1F4F2,http://apps.timwhitlock.info/unicode/inspect/hex/1F4F2,MOBILE PHONE WITH RIGHTWARDS ARROW AT LEFT,,,
U+1F4F3,http://apps.timwhitlock.info/unicode/inspect/hex/1F4F3,VIBRATION MODE,,,
U+1F4F4,http://apps.timwhitlock.info/unicode/inspect/hex/1F4F4,MOBILE PHONE OFF,,,
U+1F4F6,http://apps.timwhitlock.info/unicode/inspect/hex/1F4F6,ANTENNA WITH BARS,,,
U+1F4F7,http://apps.timwhitlock.info/unicode/inspect/hex/1F4F7,CAMERA,camera,,
U+1F4F9,http://apps.timwhitlock.info/unicode/inspect/hex/1F4F9,VIDEO CAMERA,,,
U+1F4FA,http://apps.timwhitlock.info/unicode/inspect/hex/1F4FA,TELEVISION,television,,
U+1F4FB,http://apps.timwhitlock.info/unicode/inspect/hex/1F4FB,RADIO,radio,,
U+1F4FC,http://apps.timwhitlock.info/unicode/inspect/hex/1F4FC,VIDEOCASSETTE,,,
U+1F503,http://apps.timwhitlock.info/unicode/inspect/hex/1F503,CLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS,,,
U+1F50A,http://apps.timwhitlock.info/unicode/inspect/hex/1F50A,SPEAKER WITH THREE SOUND WAVES,,,
U+1F50B,http://apps.timwhitlock.info/unicode/inspect/hex/1F50B,BATTERY,battery,,
U+1F50C,http://apps.timwhitlock.info/unicode/inspect/hex/1F50C,ELECTRIC PLUG,plug,,
U+1F50D,http://apps.timwhitlock.info/unicode/inspect/hex/1F50D,LEFT-POINTING MAGNIFYING GLASS,,,
U+1F50E,http://apps.timwhitlock.info/unicode/inspect/hex/1F50E,RIGHT-POINTING MAGNIFYING GLASS,,,
U+1F50F,http://apps.timwhitlock.info/unicode/inspect/hex/1F50F,LOCK WITH INK PEN,,,
U+1F510,http://apps.timwhitlock.info/unicode/inspect/hex/1F510,CLOSED LOCK WITH KEY,,,
U+1F511,http://apps.timwhitlock.info/unicode/inspect/hex/1F511,KEY,key,,
U+1F512,http://apps.timwhitlock.info/unicode/inspect/hex/1F512,LOCK,lock,,
U+1F513,http://apps.timwhitlock.info/unicode/inspect/hex/1F513,OPEN LOCK,,,
U+1F514,http://apps.timwhitlock.info/unicode/inspect/hex/1F514,BELL,bell,,
U+1F516,http://apps.timwhitlock.info/unicode/inspect/hex/1F516,BOOKMARK,bookmark,,
U+1F517,http://apps.timwhitlock.info/unicode/inspect/hex/1F517,LINK SYMBOL,,,
U+1F518,http://apps.timwhitlock.info/unicode/inspect/hex/1F518,RADIO BUTTON,,,
U+1F519,http://apps.timwhitlock.info/unicode/inspect/hex/1F519,BACK WITH LEFTWARDS ARROW ABOVE,,,
U+1F51A,http://apps.timwhitlock.info/unicode/inspect/hex/1F51A,END WITH LEFTWARDS ARROW ABOVE,,,
U+1F51B,http://apps.timwhitlock.info/unicode/inspect/hex/1F51B,ON WITH EXCLAMATION MARK WITH LEFT RIGHT ARROW ABOVE,,,
U+1F51C,http://apps.timwhitlock.info/unicode/inspect/hex/1F51C,SOON WITH RIGHTWARDS ARROW ABOVE,,,
U+1F51D,http://apps.timwhitlock.info/unicode/inspect/hex/1F51D,TOP WITH UPWARDS ARROW ABOVE,,,
U+1F51E,http://apps.timwhitlock.info/unicode/inspect/hex/1F51E,NO ONE UNDER EIGHTEEN SYMBOL,,,
U+1F51F,http://apps.timwhitlock.info/unicode/inspect/hex/1F51F,KEYCAP TEN,,,
U+1F520,http://apps.timwhitlock.info/unicode/inspect/hex/1F520,INPUT SYMBOL FOR LATIN CAPITAL LETTERS,,,
U+1F521,http://apps.timwhitlock.info/unicode/inspect/hex/1F521,INPUT SYMBOL FOR LATIN SMALL LETTERS,,,
U+1F522,http://apps.timwhitlock.info/unicode/inspect/hex/1F522,INPUT SYMBOL FOR NUMBERS,,,
U+1F523,http://apps.timwhitlock.info/unicode/inspect/hex/1F523,INPUT SYMBOL FOR SYMBOLS,,,
U+1F524,http://apps.timwhitlock.info/unicode/inspect/hex/1F524,INPUT SYMBOL FOR LATIN LETTERS,,,
U+1F525,http://apps.timwhitlock.info/unicode/inspect/hex/1F525,FIRE,fire,,
U+1F526,http://apps.timwhitlock.info/unicode/inspect/hex/1F526,ELECTRIC TORCH,torch,,
U+1F527,http://apps.timwhitlock.info/unicode/inspect/hex/1F527,WRENCH,wrench,,
U+1F528,http://apps.timwhitlock.info/unicode/inspect/hex/1F528,HAMMER,hammer,,
U+1F529,http://apps.timwhitlock.info/unicode/inspect/hex/1F529,NUT AND BOLT,,,
U+1F52A,http://apps.timwhitlock.info/unicode/inspect/hex/1F52A,HOCHO,hocho,,
U+1F52B,http://apps.timwhitlock.info/unicode/inspect/hex/1F52B,PISTOL,pistol,gun,
U+1F52E,http://apps.timwhitlock.info/unicode/inspect/hex/1F52E,CRYSTAL BALL,future,,
U+1F52F,http://apps.timwhitlock.info/unicode/inspect/hex/1F52F,SIX POINTED STAR WITH MIDDLE DOT,,,
U+1F530,http://apps.timwhitlock.info/unicode/inspect/hex/1F530,JAPANESE SYMBOL FOR BEGINNER,,,
U+1F531,http://apps.timwhitlock.info/unicode/inspect/hex/1F531,TRIDENT EMBLEM,,,
U+1F532,http://apps.timwhitlock.info/unicode/inspect/hex/1F532,BLACK SQUARE BUTTON,,,
U+1F533,http://apps.timwhitlock.info/unicode/inspect/hex/1F533,WHITE SQUARE BUTTON,,,
U+1F534,http://apps.timwhitlock.info/unicode/inspect/hex/1F534,LARGE RED CIRCLE,,,
U+1F535,http://apps.timwhitlock.info/unicode/inspect/hex/1F535,LARGE BLUE CIRCLE,,,
U+1F536,http://apps.timwhitlock.info/unicode/inspect/hex/1F536,LARGE ORANGE DIAMOND,,,
U+1F537,http://apps.timwhitlock.info/unicode/inspect/hex/1F537,LARGE BLUE DIAMOND,,,
U+1F538,http://apps.timwhitlock.info/unicode/inspect/hex/1F538,SMALL ORANGE DIAMOND,,,
U+1F539,http://apps.timwhitlock.info/unicode/inspect/hex/1F539,SMALL BLUE DIAMOND,,,
U+1F53A,http://apps.timwhitlock.info/unicode/inspect/hex/1F53A,UP-POINTING RED TRIANGLE,,,
U+1F53B,http://apps.timwhitlock.info/unicode/inspect/hex/1F53B,DOWN-POINTING RED TRIANGLE,down,,
U+1F53C,http://apps.timwhitlock.info/unicode/inspect/hex/1F53C,UP-POINTING SMALL RED TRIANGLE,,,
U+1F53D,http://apps.timwhitlock.info/unicode/inspect/hex/1F53D,DOWN-POINTING SMALL RED TRIANGLE,,,
U+1F550,http://apps.timwhitlock.info/unicode/inspect/hex/1F550,CLOCK FACE ONE OCLOCK,,,
U+1F551,http://apps.timwhitlock.info/unicode/inspect/hex/1F551,CLOCK FACE TWO OCLOCK,,,
U+1F552,http://apps.timwhitlock.info/unicode/inspect/hex/1F552,CLOCK FACE THREE OCLOCK,,,
U+1F553,http://apps.timwhitlock.info/unicode/inspect/hex/1F553,CLOCK FACE FOUR OCLOCK,,,
U+1F554,http://apps.timwhitlock.info/unicode/inspect/hex/1F554,CLOCK FACE FIVE OCLOCK,,,
U+1F555,http://apps.timwhitlock.info/unicode/inspect/hex/1F555,CLOCK FACE SIX OCLOCK,,,
U+1F556,http://apps.timwhitlock.info/unicode/inspect/hex/1F556,CLOCK FACE SEVEN OCLOCK,,,
U+1F557,http://apps.timwhitlock.info/unicode/inspect/hex/1F557,CLOCK FACE EIGHT OCLOCK,,,
U+1F558,http://apps.timwhitlock.info/unicode/inspect/hex/1F558,CLOCK FACE NINE OCLOCK,,,
U+1F559,http://apps.timwhitlock.info/unicode/inspect/hex/1F559,CLOCK FACE TEN OCLOCK,,,
U+1F55A,http://apps.timwhitlock.info/unicode/inspect/hex/1F55A,CLOCK FACE ELEVEN OCLOCK,,,
U+1F55B,http://apps.timwhitlock.info/unicode/inspect/hex/1F55B,CLOCK FACE TWELVE OCLOCK,,,
U+1F5FB,http://apps.timwhitlock.info/unicode/inspect/hex/1F5FB,MOUNT FUJI,fuji,,
U+1F5FC,http://apps.timwhitlock.info/unicode/inspect/hex/1F5FC,TOKYO TOWER,tokyo,,
U+1F5FD,http://apps.timwhitlock.info/unicode/inspect/hex/1F5FD,STATUE OF LIBERTY,liberty,ny,
U+1F5FE,http://apps.timwhitlock.info/unicode/inspect/hex/1F5FE,SILHOUETTE OF JAPAN,japan,,
U+1F5FF,http://apps.timwhitlock.info/unicode/inspect/hex/1F5FF,MOYAI,,,
U+1F600,http://apps.timwhitlock.info/unicode/inspect/hex/1F600,GRINNING FACE,,,
U+1F607,http://apps.timwhitlock.info/unicode/inspect/hex/1F607,SMILING FACE WITH HALO,,,
U+1F608,http://apps.timwhitlock.info/unicode/inspect/hex/1F608,SMILING FACE WITH HORNS,devil,,
U+1F60E,http://apps.timwhitlock.info/unicode/inspect/hex/1F60E,SMILING FACE WITH SUNGLASSES,cool,,
U+1F610,http://apps.timwhitlock.info/unicode/inspect/hex/1F610,NEUTRAL FACE,,,
U+1F611,http://apps.timwhitlock.info/unicode/inspect/hex/1F611,EXPRESSIONLESS FACE,,,
U+1F615,http://apps.timwhitlock.info/unicode/inspect/hex/1F615,CONFUSED FACE,confused,,
U+1F617,http://apps.timwhitlock.info/unicode/inspect/hex/1F617,KISSING FACE,,,
U+1F619,http://apps.timwhitlock.info/unicode/inspect/hex/1F619,KISSING FACE WITH SMILING EYES,,,
U+1F61B,http://apps.timwhitlock.info/unicode/inspect/hex/1F61B,FACE WITH STUCK-OUT TONGUE,,,
U+1F61F,http://apps.timwhitlock.info/unicode/inspect/hex/1F61F,WORRIED FACE,worried,,
U+1F626,http://apps.timwhitlock.info/unicode/inspect/hex/1F626,FROWNING FACE WITH OPEN MOUTH,,,
U+1F627,http://apps.timwhitlock.info/unicode/inspect/hex/1F627,ANGUISHED FACE,,,
U+1F62C,http://apps.timwhitlock.info/unicode/inspect/hex/1F62C,GRIMACING FACE,,,
U+1F62E,http://apps.timwhitlock.info/unicode/inspect/hex/1F62E,FACE WITH OPEN MOUTH,,,
U+1F62F,http://apps.timwhitlock.info/unicode/inspect/hex/1F62F,HUSHED FACE,,,
U+1F634,http://apps.timwhitlock.info/unicode/inspect/hex/1F634,SLEEPING FACE,,,
U+1F636,http://apps.timwhitlock.info/unicode/inspect/hex/1F636,FACE WITHOUT MOUTH,,,
U+1F681,http://apps.timwhitlock.info/unicode/inspect/hex/1F681,HELICOPTER,helicopter,,
U+1F682,http://apps.timwhitlock.info/unicode/inspect/hex/1F682,STEAM LOCOMOTIVE,,,
U+1F686,http://apps.timwhitlock.info/unicode/inspect/hex/1F686,TRAIN,,,
U+1F688,http://apps.timwhitlock.info/unicode/inspect/hex/1F688,LIGHT RAIL,,,
U+1F68A,http://apps.timwhitlock.info/unicode/inspect/hex/1F68A,TRAM,tram,,
U+1F68D,http://apps.timwhitlock.info/unicode/inspect/hex/1F68D,ONCOMING BUS,,,
U+1F68E,http://apps.timwhitlock.info/unicode/inspect/hex/1F68E,TROLLEYBUS,,,
U+1F690,http://apps.timwhitlock.info/unicode/inspect/hex/1F690,MINIBUS,minibus,,
U+1F694,http://apps.timwhitlock.info/unicode/inspect/hex/1F694,ONCOMING POLICE CAR,,,
U+1F696,http://apps.timwhitlock.info/unicode/inspect/hex/1F696,ONCOMING TAXI,,,
U+1F698,http://apps.timwhitlock.info/unicode/inspect/hex/1F698,ONCOMING AUTOMOBILE,,,
U+1F69B,http://apps.timwhitlock.info/unicode/inspect/hex/1F69B,ARTICULATED LORRY,,,
U+1F69C,http://apps.timwhitlock.info/unicode/inspect/hex/1F69C,TRACTOR,tractor,,
U+1F69D,http://apps.timwhitlock.info/unicode/inspect/hex/1F69D,MONORAIL,monorail,,
U+1F69E,http://apps.timwhitlock.info/unicode/inspect/hex/1F69E,MOUNTAIN RAILWAY,mountain,,
U+1F69F,http://apps.timwhitlock.info/unicode/inspect/hex/1F69F,SUSPENSION RAILWAY,,,
U+1F6A0,http://apps.timwhitlock.info/unicode/inspect/hex/1F6A0,MOUNTAIN CABLEWAY,,,
U+1F6A1,http://apps.timwhitlock.info/unicode/inspect/hex/1F6A1,AERIAL TRAMWAY,,,
U+1F6A3,http://apps.timwhitlock.info/unicode/inspect/hex/1F6A3,ROWBOAT,rowboat,,
U+1F6A6,http://apps.timwhitlock.info/unicode/inspect/hex/1F6A6,VERTICAL TRAFFIC LIGHT,,,
U+1F6AE,http://apps.timwhitlock.info/unicode/inspect/hex/1F6AE,PUT LITTER IN ITS PLACE SYMBOL,,,
U+1F6AF,http://apps.timwhitlock.info/unicode/inspect/hex/1F6AF,DO NOT LITTER SYMBOL,,,
U+1F6B0,http://apps.timwhitlock.info/unicode/inspect/hex/1F6B0,POTABLE WATER SYMBOL,,,
U+1F6B1,http://apps.timwhitlock.info/unicode/inspect/hex/1F6B1,NON-POTABLE WATER SYMBOL,,,
U+1F6B3,http://apps.timwhitlock.info/unicode/inspect/hex/1F6B3,NO BICYCLES,,,
U+1F6B4,http://apps.timwhitlock.info/unicode/inspect/hex/1F6B4,BICYCLIST,bicyclist,,
U+1F6B5,http://apps.timwhitlock.info/unicode/inspect/hex/1F6B5,MOUNTAIN BICYCLIST,,,
U+1F6B7,http://apps.timwhitlock.info/unicode/inspect/hex/1F6B7,NO PEDESTRIANS,,,
U+1F6B8,http://apps.timwhitlock.info/unicode/inspect/hex/1F6B8,CHILDREN CROSSING,,,
U+1F6BF,http://apps.timwhitlock.info/unicode/inspect/hex/1F6BF,SHOWER,shower,,
U+1F6C1,http://apps.timwhitlock.info/unicode/inspect/hex/1F6C1,BATHTUB,bathtub,,
U+1F6C2,http://apps.timwhitlock.info/unicode/inspect/hex/1F6C2,PASSPORT CONTROL,passport,,
U+1F6C3,http://apps.timwhitlock.info/unicode/inspect/hex/1F6C3,CUSTOMS,customs,,
U+1F6C4,http://apps.timwhitlock.info/unicode/inspect/hex/1F6C4,BAGGAGE CLAIM,baggage,,
U+1F6C5,http://apps.timwhitlock.info/unicode/inspect/hex/1F6C5,LEFT LUGGAGE,,,
U+1F30D,http://apps.timwhitlock.info/unicode/inspect/hex/1F30D,EARTH GLOBE EUROPE-AFRICA,,,
U+1F30E,http://apps.timwhitlock.info/unicode/inspect/hex/1F30E,EARTH GLOBE AMERICAS,,,
U+1F310,http://apps.timwhitlock.info/unicode/inspect/hex/1F310,GLOBE WITH MERIDIANS,,,
U+1F312,http://apps.timwhitlock.info/unicode/inspect/hex/1F312,WAXING CRESCENT MOON SYMBOL,,,
