unicode.text,unicode.href,discrption,,,
U+1F6BC,http://apps.timwhitlock.info/unicode/inspect/hex/1F6BC,BABY SYMBOL,baby,,
U+1F6BD,http://apps.timwhitlock.info/unicode/inspect/hex/1F6BD,TOILET,toilet,,
U+1F6BE,http://apps.timwhitlock.info/unicode/inspect/hex/1F6BE,WATER CLOSET,,,
U+1F6C0,http://apps.timwhitlock.info/unicode/inspect/hex/1F6C0,BATH,bath,,
U+24C2,http://apps.timwhitlock.info/unicode/inspect/hex/24C2,CIRCLED LATIN CAPITAL LETTER M,,,
U+1F170,http://apps.timwhitlock.info/unicode/inspect/hex/1F170,NEGATIVE SQUARED LATIN CAPITAL LETTER A,,,
U+1F171,http://apps.timwhitlock.info/unicode/inspect/hex/1F171,NEGATIVE SQUARED LATIN CAPITAL LETTER B,,,
U+1F17E,http://apps.timwhitlock.info/unicode/inspect/hex/1F17E,NEGATIVE SQUARED LATIN CAPITAL LETTER O,,,
U+1F17F,http://apps.timwhitlock.info/unicode/inspect/hex/1F17F,NEGATIVE SQUARED LATIN CAPITAL LETTER P,,,
U+1F18E,http://apps.timwhitlock.info/unicode/inspect/hex/1F18E,NEGATIVE SQUARED AB,,,
U+1F191,http://apps.timwhitlock.info/unicode/inspect/hex/1F191,SQUARED CL,,,
U+1F192,http://apps.timwhitlock.info/unicode/inspect/hex/1F192,SQUARED COOL,,,
U+1F193,http://apps.timwhitlock.info/unicode/inspect/hex/1F193,SQUARED FREE,,,
U+1F194,http://apps.timwhitlock.info/unicode/inspect/hex/1F194,SQUARED ID,,,
U+1F195,http://apps.timwhitlock.info/unicode/inspect/hex/1F195,SQUARED NEW,,,
U+1F196,http://apps.timwhitlock.info/unicode/inspect/hex/1F196,SQUARED NG,,,
U+1F197,http://apps.timwhitlock.info/unicode/inspect/hex/1F197,SQUARED OK,,,
U+1F198,http://apps.timwhitlock.info/unicode/inspect/hex/1F198,SQUARED SOS,,,
U+1F199,http://apps.timwhitlock.info/unicode/inspect/hex/1F199,SQUARED UP WITH EXCLAMATION MARK,,,
U+1F19A,http://apps.timwhitlock.info/unicode/inspect/hex/1F19A,SQUARED VS,,,
U+1F1E9 U+1F1EA,http://apps.timwhitlock.info/unicode/inspect/hex/1F1E9/1F1EA,REGIONAL INDICATOR SYMBOL LETTER D + REGIONAL INDICATOR SYMBOL LETTER E,,,
U+1F1EC U+1F1E7,http://apps.timwhitlock.info/unicode/inspect/hex/1F1EC/1F1E7,REGIONAL INDICATOR SYMBOL LETTER G + REGIONAL INDICATOR SYMBOL LETTER B,,,
U+1F1E8 U+1F1F3,http://apps.timwhitlock.info/unicode/inspect/hex/1F1E8/1F1F3,REGIONAL INDICATOR SYMBOL LETTER C + REGIONAL INDICATOR SYMBOL LETTER N,,,
U+1F1EF U+1F1F5,http://apps.timwhitlock.info/unicode/inspect/hex/1F1EF/1F1F5,REGIONAL INDICATOR SYMBOL LETTER J + REGIONAL INDICATOR SYMBOL LETTER P,,,
U+1F1F0 U+1F1F7,http://apps.timwhitlock.info/unicode/inspect/hex/1F1F0/1F1F7,REGIONAL INDICATOR SYMBOL LETTER K + REGIONAL INDICATOR SYMBOL LETTER R,,,
U+1F1EB U+1F1F7,http://apps.timwhitlock.info/unicode/inspect/hex/1F1EB/1F1F7,REGIONAL INDICATOR SYMBOL LETTER F + REGIONAL INDICATOR SYMBOL LETTER R,,,
U+1F1EA U+1F1F8,http://apps.timwhitlock.info/unicode/inspect/hex/1F1EA/1F1F8,REGIONAL INDICATOR SYMBOL LETTER E + REGIONAL INDICATOR SYMBOL LETTER S,,,
U+1F1EE U+1F1F9,http://apps.timwhitlock.info/unicode/inspect/hex/1F1EE/1F1F9,REGIONAL INDICATOR SYMBOL LETTER I + REGIONAL INDICATOR SYMBOL LETTER T,,,
U+1F1FA U+1F1F8,http://apps.timwhitlock.info/unicode/inspect/hex/1F1FA/1F1F8,REGIONAL INDICATOR SYMBOL LETTER U + REGIONAL INDICATOR SYMBOL LETTER S,,,
U+1F1F7 U+1F1FA,http://apps.timwhitlock.info/unicode/inspect/hex/1F1F7/1F1FA,REGIONAL INDICATOR SYMBOL LETTER R + REGIONAL INDICATOR SYMBOL LETTER U,,,
U+1F201,http://apps.timwhitlock.info/unicode/inspect/hex/1F201,SQUARED KATAKANA KOKO,,,
U+1F202,http://apps.timwhitlock.info/unicode/inspect/hex/1F202,SQUARED KATAKANA SA,,,
U+1F21A,http://apps.timwhitlock.info/unicode/inspect/hex/1F21A,SQUARED CJK UNIFIED IDEOGRAPH-7121,,,
U+1F22F,http://apps.timwhitlock.info/unicode/inspect/hex/1F22F,SQUARED CJK UNIFIED IDEOGRAPH-6307,,,
U+1F232,http://apps.timwhitlock.info/unicode/inspect/hex/1F232,SQUARED CJK UNIFIED IDEOGRAPH-7981,,,
U+1F233,http://apps.timwhitlock.info/unicode/inspect/hex/1F233,SQUARED CJK UNIFIED IDEOGRAPH-7A7A,,,
U+1F234,http://apps.timwhitlock.info/unicode/inspect/hex/1F234,SQUARED CJK UNIFIED IDEOGRAPH-5408,,,
U+1F235,http://apps.timwhitlock.info/unicode/inspect/hex/1F235,SQUARED CJK UNIFIED IDEOGRAPH-6E80,,,
U+1F236,http://apps.timwhitlock.info/unicode/inspect/hex/1F236,SQUARED CJK UNIFIED IDEOGRAPH-6709,,,
U+1F237,http://apps.timwhitlock.info/unicode/inspect/hex/1F237,SQUARED CJK UNIFIED IDEOGRAPH-6708,,,
U+1F238,http://apps.timwhitlock.info/unicode/inspect/hex/1F238,SQUARED CJK UNIFIED IDEOGRAPH-7533,,,
U+1F239,http://apps.timwhitlock.info/unicode/inspect/hex/1F239,SQUARED CJK UNIFIED IDEOGRAPH-5272,,,
U+1F23A,http://apps.timwhitlock.info/unicode/inspect/hex/1F23A,SQUARED CJK UNIFIED IDEOGRAPH-55B6,,,
U+1F250,http://apps.timwhitlock.info/unicode/inspect/hex/1F250,CIRCLED IDEOGRAPH ADVANTAGE,,,
U+1F251,http://apps.timwhitlock.info/unicode/inspect/hex/1F251,CIRCLED IDEOGRAPH ACCEPT,,,
U+00A9,http://apps.timwhitlock.info/unicode/inspect/hex/00A9,COPYRIGHT SIGN,copyright,,
U+00AE,http://apps.timwhitlock.info/unicode/inspect/hex/00AE,REGISTERED SIGN,,,
U+203C,http://apps.timwhitlock.info/unicode/inspect/hex/203C,DOUBLE EXCLAMATION MARK,,,
U+2049,http://apps.timwhitlock.info/unicode/inspect/hex/2049,EXCLAMATION QUESTION MARK,what,,
U+0038 U+20E3,http://apps.timwhitlock.info/unicode/inspect/hex/0038/20E3,DIGIT EIGHT + COMBINING ENCLOSING KEYCAP,,,
U+0039 U+20E3,http://apps.timwhitlock.info/unicode/inspect/hex/0039/20E3,DIGIT NINE + COMBINING ENCLOSING KEYCAP,,,
U+0037 U+20E3,http://apps.timwhitlock.info/unicode/inspect/hex/0037/20E3,DIGIT SEVEN + COMBINING ENCLOSING KEYCAP,,,
U+0036 U+20E3,http://apps.timwhitlock.info/unicode/inspect/hex/0036/20E3,DIGIT SIX + COMBINING ENCLOSING KEYCAP,,,
U+0031 U+20E3,http://apps.timwhitlock.info/unicode/inspect/hex/0031/20E3,DIGIT ONE + COMBINING ENCLOSING KEYCAP,,,
U+0030 U+20E3,http://apps.timwhitlock.info/unicode/inspect/hex/0030/20E3,DIGIT ZERO + COMBINING ENCLOSING KEYCAP,,,
U+0032 U+20E3,http://apps.timwhitlock.info/unicode/inspect/hex/0032/20E3,DIGIT TWO + COMBINING ENCLOSING KEYCAP,,,
U+0033 U+20E3,http://apps.timwhitlock.info/unicode/inspect/hex/0033/20E3,DIGIT THREE + COMBINING ENCLOSING KEYCAP,,,
U+0035 U+20E3,http://apps.timwhitlock.info/unicode/inspect/hex/0035/20E3,DIGIT FIVE + COMBINING ENCLOSING KEYCAP,,,
U+0034 U+20E3,http://apps.timwhitlock.info/unicode/inspect/hex/0034/20E3,DIGIT FOUR + COMBINING ENCLOSING KEYCAP,,,
U+0023 U+20E3,http://apps.timwhitlock.info/unicode/inspect/hex/0023/20E3,NUMBER SIGN + COMBINING ENCLOSING KEYCAP,,,
U+2122,http://apps.timwhitlock.info/unicode/inspect/hex/2122,TRADE MARK SIGN,,,
U+2139,http://apps.timwhitlock.info/unicode/inspect/hex/2139,INFORMATION SOURCE,,,
U+2194,http://apps.timwhitlock.info/unicode/inspect/hex/2194,LEFT RIGHT ARROW,,,
U+2195,http://apps.timwhitlock.info/unicode/inspect/hex/2195,UP DOWN ARROW,,,
U+2196,http://apps.timwhitlock.info/unicode/inspect/hex/2196,NORTH WEST ARROW,,,
U+2197,http://apps.timwhitlock.info/unicode/inspect/hex/2197,NORTH EAST ARROW,,,
U+2198,http://apps.timwhitlock.info/unicode/inspect/hex/2198,SOUTH EAST ARROW,,,
U+2199,http://apps.timwhitlock.info/unicode/inspect/hex/2199,SOUTH WEST ARROW,,,
U+21A9,http://apps.timwhitlock.info/unicode/inspect/hex/21A9,LEFTWARDS ARROW WITH HOOK,,,
U+21AA,http://apps.timwhitlock.info/unicode/inspect/hex/21AA,RIGHTWARDS ARROW WITH HOOK,,,
U+231A,http://apps.timwhitlock.info/unicode/inspect/hex/231A,WATCH,watch,,
U+231B,http://apps.timwhitlock.info/unicode/inspect/hex/231B,HOURGLASS,hourglass,time,
U+23E9,http://apps.timwhitlock.info/unicode/inspect/hex/23E9,BLACK RIGHT-POINTING DOUBLE TRIANGLE,,,
U+23EA,http://apps.timwhitlock.info/unicode/inspect/hex/23EA,BLACK LEFT-POINTING DOUBLE TRIANGLE,,,
U+23EB,http://apps.timwhitlock.info/unicode/inspect/hex/23EB,BLACK UP-POINTING DOUBLE TRIANGLE,,,
U+23EC,http://apps.timwhitlock.info/unicode/inspect/hex/23EC,BLACK DOWN-POINTING DOUBLE TRIANGLE,,,
U+23F0,http://apps.timwhitlock.info/unicode/inspect/hex/23F0,ALARM CLOCK,alarm,morning,
U+23F3,http://apps.timwhitlock.info/unicode/inspect/hex/23F3,HOURGLASS WITH FLOWING SAND,,,
U+25AA,http://apps.timwhitlock.info/unicode/inspect/hex/25AA,BLACK SMALL SQUARE,,,
U+25AB,http://apps.timwhitlock.info/unicode/inspect/hex/25AB,WHITE SMALL SQUARE,,,
U+25B6,http://apps.timwhitlock.info/unicode/inspect/hex/25B6,BLACK RIGHT-POINTING TRIANGLE,,,
U+25C0,http://apps.timwhitlock.info/unicode/inspect/hex/25C0,BLACK LEFT-POINTING TRIANGLE,,,
U+25FB,http://apps.timwhitlock.info/unicode/inspect/hex/25FB,WHITE MEDIUM SQUARE,,,
U+25FC,http://apps.timwhitlock.info/unicode/inspect/hex/25FC,BLACK MEDIUM SQUARE,,,
U+25FD,http://apps.timwhitlock.info/unicode/inspect/hex/25FD,WHITE MEDIUM SMALL SQUARE,,,
U+25FE,http://apps.timwhitlock.info/unicode/inspect/hex/25FE,BLACK MEDIUM SMALL SQUARE,,,
U+2600,http://apps.timwhitlock.info/unicode/inspect/hex/2600,BLACK SUN WITH RAYS,,,
U+2601,http://apps.timwhitlock.info/unicode/inspect/hex/2601,CLOUD,cloud,,
U+260E,http://apps.timwhitlock.info/unicode/inspect/hex/260E,BLACK TELEPHONE,telephone,,
U+2611,http://apps.timwhitlock.info/unicode/inspect/hex/2611,BALLOT BOX WITH CHECK,vote,,
U+2614,http://apps.timwhitlock.info/unicode/inspect/hex/2614,UMBRELLA WITH RAIN DROPS,umberella,,
U+2615,http://apps.timwhitlock.info/unicode/inspect/hex/2615,HOT BEVERAGE,coffee,tea,
U+261D,http://apps.timwhitlock.info/unicode/inspect/hex/261D,WHITE UP POINTING INDEX,,,
U+263A,http://apps.timwhitlock.info/unicode/inspect/hex/263A,WHITE SMILING FACE,,,
U+2648,http://apps.timwhitlock.info/unicode/inspect/hex/2648,ARIES,ARIES,,
U+2649,http://apps.timwhitlock.info/unicode/inspect/hex/2649,TAURUS,TAURUS,,
U+264A,http://apps.timwhitlock.info/unicode/inspect/hex/264A,GEMINI,GEMINI,,
U+264B,http://apps.timwhitlock.info/unicode/inspect/hex/264B,CANCER,CANCER,,
U+264C,http://apps.timwhitlock.info/unicode/inspect/hex/264C,LEO,LEO,,
U+264D,http://apps.timwhitlock.info/unicode/inspect/hex/264D,VIRGO,VIRGO,,
U+264E,http://apps.timwhitlock.info/unicode/inspect/hex/264E,LIBRA,LIBRA,,
U+264F,http://apps.timwhitlock.info/unicode/inspect/hex/264F,SCORPIUS,SCORPIUS,,
U+2650,http://apps.timwhitlock.info/unicode/inspect/hex/2650,SAGITTARIUS,SAGITTARIUS,,
U+2651,http://apps.timwhitlock.info/unicode/inspect/hex/2651,CAPRICORN,CAPRICORN,,
U+2652,http://apps.timwhitlock.info/unicode/inspect/hex/2652,AQUARIUS,AQUARIUS,,
U+2653,http://apps.timwhitlock.info/unicode/inspect/hex/2653,PISCES,PISCES,,
U+2660,http://apps.timwhitlock.info/unicode/inspect/hex/2660,BLACK SPADE SUIT,spade,,
U+2663,http://apps.timwhitlock.info/unicode/inspect/hex/2663,BLACK CLUB SUIT,club,,
U+2665,http://apps.timwhitlock.info/unicode/inspect/hex/2665,BLACK HEART SUIT,heart,,
U+2666,http://apps.timwhitlock.info/unicode/inspect/hex/2666,BLACK DIAMOND SUIT,diamond,,
U+2668,http://apps.timwhitlock.info/unicode/inspect/hex/2668,HOT SPRINGS,,,
U+267B,http://apps.timwhitlock.info/unicode/inspect/hex/267B,BLACK UNIVERSAL RECYCLING SYMBOL,recycling,,
U+267F,http://apps.timwhitlock.info/unicode/inspect/hex/267F,WHEELCHAIR SYMBOL,wheelchair,,
U+2693,http://apps.timwhitlock.info/unicode/inspect/hex/2693,ANCHOR,anchor,,
U+26A0,http://apps.timwhitlock.info/unicode/inspect/hex/26A0,WARNING SIGN,warning,,
U+26A1,http://apps.timwhitlock.info/unicode/inspect/hex/26A1,HIGH VOLTAGE SIGN,,,
U+26AA,http://apps.timwhitlock.info/unicode/inspect/hex/26AA,MEDIUM WHITE CIRCLE,,,
U+26AB,http://apps.timwhitlock.info/unicode/inspect/hex/26AB,MEDIUM BLACK CIRCLE,,,
U+26BD,http://apps.timwhitlock.info/unicode/inspect/hex/26BD,SOCCER BALL,football,soccer,
U+26BE,http://apps.timwhitlock.info/unicode/inspect/hex/26BE,BASEBALL,baseball,,
U+26C4,http://apps.timwhitlock.info/unicode/inspect/hex/26C4,SNOWMAN WITHOUT SNOW,,,
U+26C5,http://apps.timwhitlock.info/unicode/inspect/hex/26C5,SUN BEHIND CLOUD,,,
U+26CE,http://apps.timwhitlock.info/unicode/inspect/hex/26CE,OPHIUCHUS,,,
U+26D4,http://apps.timwhitlock.info/unicode/inspect/hex/26D4,NO ENTRY,,,
U+26EA,http://apps.timwhitlock.info/unicode/inspect/hex/26EA,CHURCH,church,,
U+26F2,http://apps.timwhitlock.info/unicode/inspect/hex/26F2,FOUNTAIN,fountain,,
U+26F3,http://apps.timwhitlock.info/unicode/inspect/hex/26F3,FLAG IN HOLE,golf,,
U+26F5,http://apps.timwhitlock.info/unicode/inspect/hex/26F5,SAILBOAT,boat,sailboat,
U+26FA,http://apps.timwhitlock.info/unicode/inspect/hex/26FA,TENT,tent,,
